setting,shape,seed,method,half,cells,lo_ratio,cov,seconds
n23,normal,290063,CP_PAC,2.4346174106005734,15,0.9467718803030996,0.9850924574013932,
n23,normal,290063,Oracle,2.1812827538992074,15,0.9467718803030996,0.970837490782839,
n23,normal,290063,Oracle04,2.210158215111015,15,0.9467718803030996,0.9729058162134732,
n23,normal,290063,Plug,2.1088916313817685,15,0.9467718803030996,0.9650460632734434,
n23,normal,290063,Dlow,2.226373206565793,15,0.9467718803030996,0.9740108063729108,
n23,normal,290063,S,2.2308215091158026,15,0.9467718803030996,0.974307045407884,
n23,normal,290060,CP_PAC,2.6112440455065187,20,0.8693191262373601,0.990978650982284,
n23,normal,290060,Oracle,2.3819314054447736,20,0.8693191262373601,0.9827778948888326,
n23,normal,290060,Oracle04,2.412004209510632,20,0.8693191262373601,0.9841349016458631,
n23,normal,290060,Plug,2.3499159698610814,20,0.8693191262373601,0.9812223503307962,
n23,normal,290060,Dlow,2.444590684267641,20,0.8693191262373601,0.9854983381426344,
n23,normal,290060,S,2.449474986208793,20,0.8693191262373601,0.9856935353588984,
n23,normal,290064,CP_PAC,2.5467215084010384,18,0.9060905297508516,0.9891259825359886,
n23,normal,290064,Oracle,2.309411633258214,18,0.9060905297508516,0.9790792499050194,
n23,normal,290064,Oracle04,2.3390307891176825,18,0.9060905297508516,0.9806661599143596,
n23,normal,290064,Plug,2.2612137283778173,18,0.9060905297508516,0.9762539745980844,
n23,normal,290064,Dlow,2.3642835102580912,18,0.9060905297508516,0.9819350178807008,
n23,normal,290064,S,2.369007358145144,18,0.9060905297508516,0.9821641013876918,
n23,normal,290067,CP_PAC,2.0792233916750886,15,0.6917972536322881,0.9624031773867698,
n23,normal,290067,Oracle,1.749572796247857,15,0.6917972536322881,0.9198079427238076,
n23,normal,290067,Oracle04,1.7766403133291586,15,0.6917972536322881,0.9243725616207504,
n23,normal,290067,Plug,1.8003574015656332,15,0.6917972536322881,0.9281957774446248,
n23,normal,290067,Dlow,1.9009362505655647,15,0.6917972536322881,0.9426896368208106,
n23,normal,290067,S,1.904734328778984,15,0.6917972536322881,0.9431853857647964,
n23,normal,290061,CP_PAC,2.8143535695350077,23,0.8642769106582671,0.995112456114024,
n23,normal,290061,Oracle,2.605333929959971,23,0.8642769106582671,0.9908215243535516,
n23,normal,290061,Oracle04,2.636914945564388,23,0.8642769106582671,0.9916336193793184,
n23,normal,290061,Plug,2.579821311962274,23,0.8642769106582671,0.9901148550021688,
n23,normal,290061,Dlow,2.6649999374832127,23,0.8642769106582671,0.9923011662912512,
n23,normal,290061,S,2.6703246179917284,23,0.8642769106582671,0.992422205296281,
n23,normal,290066,CP_PAC,2.412199981593009,18,0.7838845877760029,0.9841434184530982,
n23,normal,290066,Oracle,2.155252795242047,18,0.7838845877760029,0.968857942464088,
n23,normal,290066,Oracle04,2.1839864972575973,18,0.7838845877760029,0.9710367597209716,
n23,normal,290066,Plug,2.15512268635459,18,0.7838845877760029,0.9688477651285023,
n23,normal,290066,Dlow,2.247195910510296,18,0.7838845877760029,0.9753724905691394,
n23,normal,290066,S,2.2516858169058693,18,0.7838845877760029,0.9756578664213584,
n23,normal,290068,CP_PAC,2.3849290936598253,17,0.8135818886670407,0.9829175864975892,
n23,normal,290068,Oracle,2.123507614196311,17,0.8135818886670407,0.9662886618698692,
n23,normal,290068,Oracle04,2.1520746977505105,17,0.8135818886670407,0.9686085283969308,
n23,normal,290068,Plug,2.1087947588624445,17,0.8135818886670407,0.9650376987888468,
n23,normal,290068,Dlow,2.2088094821544995,17,0.8135818886670407,0.97281210476323,
n23,normal,290068,S,2.213222692313056,17,0.8135818886670407,0.9731177036347904,
n23,normal,290069,CP_PAC,2.2422564310404507,15,0.7955239127585766,0.975055196122514,
n23,normal,290069,Oracle,1.953369737259793,15,0.7955239127585766,0.9492242005130757,
n23,normal,290069,Oracle04,1.9811368269901144,15,0.7955239127585766,0.9524240686542852,
n23,normal,290069,Plug,1.9479754993174891,15,0.7955239127585766,0.9485821051511,
n23,normal,290069,Dlow,2.0528607265630923,15,0.7955239127585766,0.9599139130854552,
n23,normal,290069,S,2.0569623504857373,15,0.7955239127585766,0.9603101524338208,
n23,normal,290065,CP_PAC,2.565922891447453,23,0.7175823093571007,0.9897098299462534,
n23,normal,290065,Oracle,2.33101714207292,23,0.7175823093571007,0.9802475442003832,
n23,normal,290065,Oracle04,2.3607698174945217,23,0.7175823093571007,0.9817629536711954,
n23,normal,290065,Plug,2.354625103865581,23,0.7175823093571007,0.9814585987331048,
n23,normal,290065,Dlow,2.4298278509816265,23,0.7175823093571007,0.9848940041363854,
n23,normal,290065,S,2.4346826567229685,23,0.7175823093571007,0.9850951449107432,
n23,normal,290070,CP_PAC,2.3594228283050027,15,0.9001080103327792,0.9816966126241145,
