shape,seed,rule,nu,alpha,half,cov
normal,300021,H,2.0,9e-05,3.0115085014336183,0.997400468765633
normal,300021,H,2.0,0.001,2.9290735898981364,0.9966002607775972
normal,300021,H,2.0,0.005,2.8249452805901587,0.995271130893242
normal,300021,H,10.0,9e-05,2.4144591440759893,0.9842414098143861
normal,300021,H,10.0,0.001,2.3367096724570953,0.9805457147345717
normal,300021,H,10.0,0.005,2.2889841973576055,0.9779197294292539
normal,300021,H,50.0,9e-05,2.139119523762058,0.9675740104040824
normal,300021,H,50.0,0.001,2.1174261259895633,0.9657763011655562
normal,300021,H,50.0,0.005,2.104410087326066,0.9646573097511126
normal,300021,H,200.0,9e-05,2.0090898484430175,0.9554723939533019
normal,300021,H,200.0,0.001,2.0047511688885185,0.9550103447487579
normal,300021,H,200.0,0.005,2.0090898484430175,0.9554723939533019
normal,300021,H,1000.0,9e-05,1.9483483346800305,0.9486267026674846
normal,300021,H,1000.0,0.001,1.9526870142345296,0.9491433066442272
normal,300021,H,1000.0,0.005,1.9657030528980268,0.9506670780265394
normal,300018,CP,,,2.412121728064724,0.9841400146186601
normal,300018,Oracle,,,2.178590028741126,0.9706378624153369
normal,300018,H,2.0,9e-05,3.372663094740213,0.9992555501780105
normal,300018,H,2.0,0.001,3.276178225617635,0.9989477786251617
normal,300018,H,2.0,0.005,3.1555721392144123,0.9983981635127344
normal,300018,H,10.0,9e-05,2.6846736615569373,0.9927399344546204
normal,300018,H,10.0,0.001,2.612695577809314,0.9910168722095158
normal,300018,H,10.0,0.005,2.564453143248025,0.9896661468707153
normal,300018,H,50.0,9e-05,2.402640588153658,0.9837228235061113
normal,300018,H,50.0,0.001,2.3785193708730135,0.9826176763898546
normal,300018,H,50.0,0.005,2.3688708839607555,0.9821575189322531
normal,300018,H,200.0,9e-05,2.291682988662693,0.9780760572534
normal,300018,H,200.0,0.001,2.286858745206564,0.9777959307179442
normal,300018,H,200.0,0.005,2.3013314755749508,0.9786270980663847
normal,300018,H,1000.0,9e-05,2.226975351063804,0.9740510787975094
normal,300018,H,1000.0,0.001,2.2339374070794515,0.9745128081765719
normal,300018,H,1000.0,0.005,2.2484101374478382,0.9754499506382954
normal,300026,CP,,,2.4605347097024506,0.9861269847914476
normal,300026,Oracle,,,2.2334372273137597,0.9744798744670542
normal,300026,H,2.0,9e-05,3.43543374857679,0.9994083939031195
normal,300026,H,2.0,0.001,3.3468544990275118,0.9991826590125694
normal,300026,H,2.0,0.005,3.228748832961807,0.9987566695967565
normal,300026,H,10.0,9e-05,2.758241230101688,0.9941886704599088
