p,q,x,L,U,tol,evals,beta,ell,seconds
0.9036,0.9,0.257,0.5977484364574714,0.5979277609884087,0.0003,3354842,2.060922265956533,1.0524822881330322,15.086273193359375
0.9036,0.9,0.2575,0.5963500050891071,0.5965289100906338,0.0003,3660936,2.065986758327175,1.050022368746409,15.01287293434143
0.9036,0.9,0.258,0.5949477706477708,0.5951262549789651,0.0003,2634918,2.0710814010605594,1.0475551823965643,14.39507269859314
0.9036,0.9,0.2585,0.5935417102794689,0.5937197727925527,0.0003,3591220,2.07621307823895,1.0450815979354504,15.426353931427002
0.9036,0.9,0.259,0.5921318008248494,0.5923094403650968,0.0003,2431928,2.081380091463911,1.0426012512828413,14.2130606174469
0.9036,0.9,0.2595,0.5907180188136629,0.590895234219307,0.0003,3138068,2.086580964295351,1.0401132877870143,14.932531356811523
0.9036,0.9,0.26,0.5893003404593826,0.5894771305615204,0.0003,3124546,2.091819287599258,1.0376188314244754,14.527427911758423
0.9036,0.9,0.2605,0.5878787416540996,0.5880551052765958,0.0003,3237584,2.0970929384765347,1.0351174873342257,15.051990509033203
0.9036,0.9,0.261,0.5864531979629373,0.5866291339223261,0.0003,3964930,2.1024069397489353,1.032609246095298,15.87305498123169
0.9036,0.9,0.2615,0.5850236846183233,0.5851991917237088,0.0003,3185418,2.107756141422439,1.0300936468988655,14.926720380783081
